selection1_name,selection1_id
Odense Boldklub,272
South Africa,111099
SønderjyskE,1447
CD O'Higgins,112116
Ecuador,111465
St. Johnstone FC,100804
St. Mirren,100805
Çaykur Rizespor,101037
Astra Giurgiu,112847
Brisbane Roar,111395
CD Huachipato,111327
FC Thun,1715
Hobro IK,112425
Orlando Pirates,110930
Servette FC,324
CD Everton de Viña del Mar,112584
Central Córdoba,112965
FC Seoul,982
Júbilo Iwata,101144
Silkeborg IF,270
Unión de Santa Fe,111716
Audax Italiano,101097
CD Universidad de Concepción,112534
Club Atlético Aldosivi,111707
FC Luzern,897
FK Bodø/Glimt,918
Hebei China Fortune FC,112978
Independiente Medellín,101103
Shimizu S-Pulse,101149
St. Patrick's Athletic,423
Stabæk Fotball,917
Vegalta Sendai,112836
Östersunds FK,113173
AC Horsens,1446
Arka Gdynia,111082
Australia,1415
Beijing Renhe FC,112537
Bulgaria,1327
Derry City,445
Finn Harps,111131
HJK Helsinki,100325
Lyngby BK,15001
Oita Trinita,113183
Once Caldas,101106
Shonan Bellmare,113161
Unión Española,110977
WSG Tirol,15040
Western United FC,114023
Atlético Tucumán,111708
Coquimbo Unido,112705
Fortaleza,111052
Godoy Cruz,111706
Notts County,1937
Politehnica Iaşi,110815
Academica Clinceni,113391
Al Shabab,111674
Avaí FC,111976
Bahia,1598
Chapecoense,112476
Chongqing Dangdai Lifan FC SWM Team,112165
FC Admira Wacker Mödling,111821
Gaz Metan Mediaş,112637
Goiás,111042
Helsingborgs IF,432
SKN St. Pölten,112075
Tianjin TEDA FC,111774
Tromsø IL,418
CD Antofagasta,112533
Chindia Târgovişte,113387
Envigado FC,112526
Henan Jianye FC,111779
Matsumoto Yamaga,113158
SV Mattersburg,1785
Neuchâtel Xamax,435
Palmeiras,383
Sligo Rovers,563
Viking FK,300
Vålerenga Fotball,920
Al Wehda,112408
Bursaspor,742
CD Cobresal,110978
Daegu FC,2056
IK Sirius,113458
Lillestrøm SK,299
Patronato,110581
SCR Altach,15009
Strømsgodset IF,922
Yeovil Town,346
Örebro SK,705
Al Taawoun,112393
BK Häcken,711
Bolivia,111451
FC Botoşani,110752
Incheon United FC,110765
Rionegro Águilas,112578
TSV Hartberg,2017
Atlético Huila,112528
CSA - AL,113677
Carpi,112409
Ceará Sporting Club,111059
Curicó Unido,112655
FC Hermannstadt,114147
GIF Sundsvall,1596
Odds BK,1456
Sarpsborg 08 FF,112199
Seongnam FC,981
Vasco da Gama,569
AFC Eskilstuna,112171
Córdoba CF,1867
Deportes Iquique,112531
FK Haugesund,1463
Grasshopper Club Zürich,322
Mjøndalen IF,112420
Abha Club,113058
CF Reus Deportiu,110854
Corinthians,1041
Flamengo,1043
IF Elfsborg,700
Jaguares de Córdoba,112903
Kristiansund BK,113459
Ranheim Fotball,112200
Real Madrid Castilla,110710
SC Fortuna Köln,110169
SV Werder Bremen II,110694
Sepsi OSK,113378
VfR Aalen,550
AS Béziers,113948
Al Adalah,113345
Al Faisaly,112389
Al Hazem,113222
Atlético Bucaramanga,112992
Damac FC,113217
Catania,110364
Cesena,110915
Coritiba,111044
Ettifaq FC,112096
Excelsior,1971
FC Anzhi Makhachkala,100766
FC Energie Cottbus,162
FC Rostov,110231
Jeju United FC,1478
Kalmar FF,1439
Ternana,570
Vejle Boldklub,822
Al Fateh,112390
Al Fayha,113057
América FC (Minas Gerais),112001
Atlante,101116
Barnet,135
CF Rayo Majadahonda,110066
Club Atlético Tigre,111715
Criciúma,111046
Cúcuta Deportivo,111721
Deportivo Pasto,111723
Drogheda United,1572
Dundee United,181
Évian Thonon Gaillard FC,111271
FC Krasnodar,112218
FC Ufa,110822
FSV Frankfurt,110596
Falkenbergs FF,112169
Figueirense,111045
Gangwon FC,112115
Hartlepool United,1941
IK Start,1524
Kashiwa Reysol,101145
La Equidad,112523
NAC Breda,1904
NEC Nijmegen,1910
Gimnàstic de Tarragona,15019
Osmanlıspor,112958
Padova,110912
Patriotas Boyacá FC,112527
Sangju Sangmu FC,2055
Santiago Wanderers,110976
Saudi Arabia,111114
Tours FC,110326
Al Raed,112392
Alianza Petrolera,112579
Changchun Yatai FC,111769
FC Ural Yekaterinburg,111264
Foggia,110911
Joinville,111054
Kardemir Karabükspor,112122
Lobos BUAP,111035
Miedź Legnica,112505
Novara,112225
Ponte Preta,111043
Red Star FC,111273
Santa Cruz,111058
Vannes OC,111377
Avellino,2038
BB Erzurumspor,749
Club Olimpo,110398
De Graafschap,635
FC Lausanne-Sport,1862
FC Rot-Weiß Erfurt,100424
GD Chaves,518
Gaziantepspor,101024
Go Ahead Eagles,100632
Hereford,147
Jaguares de Chiapas,110151
KVC Westerlo,681
Krylya Sovetov Samara,100764
Kuban Krasnodar,110089
Roda JC Kerkrade,1902
Ruch Chorzów,874
Sakaryaspor,1459
Sporting Club de Bastia,58
Sporting Lokeren,2007
Terek Grozny,110109
Trelleborgs FF,703
VfL Sportfreunde Lotte,110700
Vitória,1719
York City,1948
Adanaspor,110401
Arezzo,110907
Balıkesirspor,112889
Belgrano de Córdoba,111022
Bilbao Athletic,110701
Bucaspor,112232
Chacarita Juniors,110405
Chivas USA,111070
Club Atlético Temperley,112904
Clube Náutico Capibaribe,111050
Dorados de Sinaloa,111032
Dynamo České Budějovice,110471
Eskişehirspor,111988
FC Helsingør,113720
FC Pro Vercelli 1892,112398
Football Bourg En Bresse Peronnas 01,110576
Fortaleza CEIF,112834
GFC Ajaccio,110316
Grosseto,111491
GwangJu FC,112258
Gyeongnam FC,111588
Hajer,112394
Jaguares de Chiapas,112679
Latina,112487
Leones Negros de la UdeG,111654
Limerick FC,111285
SS Virtus Lanciano,112020
San Martin de Tucumán,111714
San Martín de San Juan,111713
Sevilla Atlético,110714
Sport Club do Recife,111057
Suwon FC,112558
Unión Magdalena,112715
Ventforet Kofu,113162
Vicenza,112954
AC Bellinzona,1714
Aalesunds FK,1755
Alemannia Aachen,1826
Amkar Perm,110234
Associação Académica de Coimbra,1901
Bari,1848
Bray Wanderers,838
Busan IPark,1476
C.P. Ejido,1857
CD Feirense,10019
CD Nacional,1891
CE Sabadell FC,15021
Chesterfield,1924
Como,1745
Croatia,1328
Daejeon Citizen,980
Dinamo Moscow,312
Diyarbakırspor,101018
FC La Chaux-de-Fonds,10023
FC Wacker Innsbruck,2045
Halmstads BK,321
Hércules CF,100879
Inverness Caledonian Thistle,620
Jeonnam Dragons,1475
Kayseri Erciyesspor,1458
Korea Republic,974
Manisaspor,101035
Mersin İdman Yurdu,101036
Modena,1744
Polonia Warszawa,1570
RAEC Mons,1747
San Luis,110149
Shelbourne FC,834
Siena,1838
Sogndal Fotball,1465
Stade Lavallois Mayenne FC,1814
Stockport County,1931
Tunisia,1391
UD Salamanca,1856
Widzew Łódź,301
AC Barnechea,112708
Al Batin,112990
Al Khaleej,112883
Al Nahdha Dammam,112676
Albirex Niigata,112906
Avispa Fukuoka,113186
Club Atlético Sarmiento,112713
Club Deportes Temuco,112709
Cortuluá,112934
